Unnamed: 29,Unnamed: 30,Unnamed: 31,cat.thisIndex,cat.thisN,cat.thisRepN,cat.thisTrialN,correct,date,expName,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.corr,key_resp_9.keys,key_resp_9.rt,participant,practice.thisIndex,practice.thisN,practice.thisRepN,practice.thisTrialN,session,stim1,stim2,ws.thisIndex,ws.thisN,ws.thisRepN,ws.thisTrialN
,,,19.0,29.0,0.0,29.0,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,0.0,2,0.13473987579299998,101,,,,,1,cat/5-16-2.wav,cat/5-2-16.wav,,,,
,,,25.0,30.0,0.0,30.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,2,0.21804380416900002,101,,,,,1,cat/16-5-8.wav,cat/11-5-8.wav,,,,
,,,9.0,31.0,0.0,31.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,2,0.11802482605,101,,,,,1,cat/762.wav,cat/726.wav,,,,
,,,18.0,32.0,0.0,32.0,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,,,1.0,2,0.334738969803,101,,,,,1,cat/2-6-26.wav,cat/2-6-17.wav,,,,
,,,,,,,,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,,,,,space,8.260242939,,,,101,,,,,1,,,,,,
,,,,,,,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,None,,,,,,,,0.0,['2'],[5.857527017593384],102,0.0,0.0,0.0,0.0,1,prac1.wav,prac2.wav,,,,
,,,,,,,,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,space,7.35935497284,,,,,,,,102,,,,,1,,,,,,
,,,,,,,2.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,None,,,,,,,,0.0,['2'],[8.00987982749939],102,,,,,1,ws/31.wav,ws/4.wav,9.0,0.0,0.0,0.0
,,,,,,,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,None,,,,,,,,0.0,['1'],[0.5850541591644287],102,,,,,1,ws/9.wav,ws/33.wav,4.0,1.0,0.0,1.0
,,,,,,,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,['1'],[2.937821865081787],,,,,,,0.0,None,,102,,,,,1,ws/1.wav,ws/34.wav,0.0,2.0,0.0,2.0
,,,,,,,2.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,None,,,,,,,,0.0,['2'],[0.2514040470123291],102,,,,,1,ws/22.wav,ws/4.wav,10.0,3.0,0.0,3.0
,,,,,,,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,['2'],[2.870971918106079],,,,,,,0.0,None,,102,,,,,1,ws/1.wav,ws/10.wav,5.0,4.0,0.0,4.0
,,,,,,,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,None,,,,,,,,0.0,['2'],[0.0836188793182373],102,,,,,1,ws/9.wav,ws/18.wav,3.0,5.0,0.0,5.0
,,,,,,,2.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,None,,,,,,,,0.0,['1'],[0.2346479892730713],102,,,,,1,ws/19.wav,ws/1.wav,6.0,6.0,0.0,6.0
,,,,,,,2.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,None,,,,,,,,0.0,['2'],[0.46827006340026855],102,,,,,1,ws/21.wav,ws/3.wav,8.0,7.0,0.0,7.0
,,,,,,,2.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,None,,,,,,,,0.0,['2'],[0.23476886749267578],102,,,,,1,ws/27.wav,ws/9.wav,11.0,8.0,0.0,8.0
,,,,,,,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,None,,,,,,,,0.0,['1'],[1.6363558769226074],102,,,,,1,ws/3.wav,ws/29.wav,1.0,9.0,0.0,9.0
,,,,,,,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,None,,,,,,,,0.0,['2'],[0.6686990261077881],102,,,,,1,ws/4.wav,ws/13.wav,2.0,10.0,0.0,10.0
,,,,,,,2.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,None,,,,,,,,0.0,['2'],[2.0201199054718018],102,,,,,1,ws/12.wav,ws/3.wav,7.0,11.0,0.0,11.0
,,,,,,,,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,,,space,23.8272471428,,,,,,102,,,,,1,,,,,,
,,,23.0,0.0,0.0,0.0,2.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,,,,,,,0.0,['2'],[1.5863361358642578],102,,,,,1,cat/16-4-9.wav,cat/11-4-9.wav,,,,
,,,11.0,1.0,0.0,1.0,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,,,,,,,0.0,['1'],[0.5018229484558105],102,,,,,1,cat/3-15-9.wav,cat/3-22-9.wav,,,,
,,,22.0,2.0,0.0,2.0,2.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,,,,,,,0.0,['1'],[0.36837005615234375],102,,,,,1,cat/1-9-15.wav,cat/1-15-9.wav,,,,
,,,18.0,3.0,0.0,3.0,2.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,,,,,,,0.0,['1'],[1.4530320167541504],102,,,,,1,cat/9-4-11.wav,cat/9-11-4.wav,,,,
,,,13.0,4.0,0.0,4.0,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,,,,,,,0.0,['2'],[0.13472509384155273],102,,,,,1,cat/4-16-1.wav,cat/4-1-16.wav,,,,
,,,19.0,5.0,0.0,5.0,2.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,,,,,,,0.0,['1'],[0.3515439033508301],102,,,,,1,cat/1-17-9.wav,cat/1-15-9.wav,,,,
,,,25.0,6.0,0.0,6.0,2.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,,,,,,,0.0,['2'],[0.9189050197601318],102,,,,,1,cat/3-4-20.wav,cat/3-4-18.wav,,,,
,,,10.0,7.0,0.0,7.0,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,,,,,,,0.0,['1'],[0.36722397804260254],102,,,,,1,cat/3-13-9.wav,cat/3-9-13.wav,,,,
,,,6.0,8.0,0.0,8.0,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,,,,,,,0.0,['1'],[0.7520961761474609],102,,,,,1,cat/1-14-9.wav,cat/1-10-9.wav,,,,
,,,8.0,9.0,0.0,9.0,1.0,2016_Mar_29_1724,Stat_Cat_Oct,59.930100905,,,,,,,,,0.0,['1'],[0.01793813705444336],102,,,,,1,cat/10-4-9.wav,cat/13-4-9.wav,,,,
